Oid,Sediment.Y [mm],HSI_depth,Rmean,RABD845,RABD655-685max
21600,1296,1296,0.139861561,0.998386832,1.100772696
21601,1296.06,1296.06,0.13880209,0.993094569,1.100313821
21602,1296.12,1296.12,0.133948243,0.997415388,1.101236056
21603,1296.18,1296.18,0.126326845,0.994795543,1.117605255
21604,1296.24,1296.24,0.117820481,0.996959642,1.132458189
21605,1296.3,1296.3,0.109475871,1.002703027,1.141948023
21606,1296.36,1296.36,0.10405313,1.001432994,1.148759873
21607,1296.42,1296.42,0.100911397,1.00153473,1.156824291
21608,1296.48,1296.48,0.100458028,1.00191123,1.15987479
21609,1296.54,1296.54,0.101385518,0.999661833,1.151197917
21610,1296.6,1296.6,0.102414857,0.999355416,1.144898134
21611,1296.66,1296.66,0.10540628,0.99542628,1.148915624
21612,1296.72,1296.72,0.107320463,0.994020008,1.143260048
21613,1296.78,1296.78,0.110371056,0.991718716,1.149110643
21614,1296.84,1296.84,0.114040038,0.990765508,1.144132008
21615,1296.9,1296.9,0.116997902,0.989744341,1.145064336
21616,1296.96,1296.96,0.120153822,0.990965195,1.133751455
21617,1297.02,1297.02,0.12120677,0.994091306,1.143280303
21618,1297.08,1297.08,0.120526519,0.996377773,1.147779868
21619,1297.14,1297.14,0.11949392,0.995764152,1.157262623
21620,1297.2,1297.2,0.118463693,0.997210261,1.154555945
21621,1297.26,1297.26,0.119961264,0.995425337,1.170072959
